Item_Artifact_Kill_Shuriken,"怨恨飞刀","Kunai of Resentment","Kunai Kebencian","Kunai de Ressentimento","Кунаи злобы","怨恨飛刀"
Item_Artifact_Kill_Shuriken_Des,"击杀敌人或受伤时产生飞刀","Generates a kunai upon killing an enemy or receiving damage.","Menghasilkan kunai setelah menyingkirkan musuh atau menerima damage.","Gera uma kunai ao matar um inimigo ou ao receber dano.","Создает кунаи при убийстве противника или получении урона.","擊殺敵人或受傷時產生飛刀"
Item_Artifact_SurroundingShuriken,"护身飞刀","Kunai of Protection","Kunai Perlindungan","Kunai de Proteção","Кунаи защиты","護身飛刀"
Item_Artifact_SurroundingShuriken_Des," 产生围绕着自己的飞刀"," Generates a kunai to surround yourself."," Menghasilkan kunai untuk mengelilingi dirimu.","Gera uma kunai para cercar você.","Создает кунаи, защищающий персонажа.","產生圍繞著自己的飛刀"
Item_Artifact_Attack_DoubleAttack,"二连击","Double Strike","Sambaran Ganda","Golpe Duplo","Двойной удар","二連擊"
Item_Artifact_Attack_DoubleAttack_Des,"每次攻击时敌人受到两次伤害","Each attack deals damage twice to the target.","Setiap serangan menimbulkan damage dua kali pada target.","Cada ataque causa dano ao alvo duas vezes.","Каждая атака наносит цели двойной урон.","每次攻擊時敵人受到兩次傷害"
Item_Artifact_Armor_Heavy,"重甲","Heavy Armor","Zirah Berat","Armadura Pesada","Тяжелая броня","重甲"
Item_Artifact_Armor_Heavy_Des,"大幅免伤，降低速度","Greatly reduces damage taken but also reduces speed.","Mengurangi damage yang diterima secara signifikan, tetapi juga mengurangi kecepatan.","Reduz muito o dano sofrido mas também reduz a velocidade.","Значительно снижает получаемый урон, но также снижает скорость.","大幅免傷，降低速度"
Item_Attributes_AttackCrit_S,"暴击几率超小提升","Crit Boost (S)","Boost Crit (S)","Aumento de Crít (P)","Бонус к крит. удару (М)","暴擊幾率超小提升"
Item_Attributes_AttackCrit_S_Des,"暴击几率提升2%","Crit Chance +2%","Peluang Crit +2%","Chance de Crít +2%","Шанс крит. удара +2%","暴擊幾率提升2%"
Item_Attributes_AttackSpeed_S,"攻速超小提升","ATK Speed Boost (S)","Boost Kecepatan ATK (S)","Aumento de Velocidade de ATQ (P)","Бонус к скорости АТК (М)","攻速超小提升"
Item_Attributes_AttackSpeed_S_Des,"攻速提升2%","ATK Speed +2%","Kecepatan ATK +2%","Velocidade de ATQ +2%","Скорость атаки +2%","攻速提升2%"
Item_Artifact_Armor_Dull,"迟钝铠甲","Defensive Armor","Zirah Pertahanan","Armadura Defensiva","Защитная броня","遲鈍鎧甲"
Item_Artifact_Armor_Dull_Des,"牺牲攻击，增强防御","Reduces ATK to increase defense.","Mengurangi ATK untuk meningkatkan pertahanan.","Reduz o ATQ para aumentar a defesa.","Уменьшает ATK для повышения защиты.","犧牲攻擊，增强防禦"
Item_Artifact_Armor_AfterHit,"受伤守护","Shield of Invulnerability","Perisai Kekebalan","Escudo de Invulnerabilidade","Щит неуязвимости","受傷守護"
Item_Artifact_Armor_AfterHit_Des,"受到伤害后获得短暂的护盾","Generates a temporary shield upon receiving damage.","Menghasilkan perisai sementara saat menerima damage.","Gera um escudo temporário ao receber dano.","Создает временный щит при получении урона.","受到傷害後獲得短暫的護盾"
Item_Artifact_Armor_Angry,"狂怒","Berserk","Berserk","Furor","Берсерк","狂怒"
Item_Artifact_Armor_Angry_Des,"受伤后短暂进入狂怒状态，增加8%攻击力","Temporarily increases ATK by 8% upon receiving damage.","Sementara meningkatkan ATK sebesar 8% saat menerima damage.","Aumenta temporariamente o ATQ em 8% ao receber dano.","Временно увеличивает ATK на 8% при получении урона.","受傷後短暫進入狂怒狀態，新增8%攻擊力"
Item_Artifact_Special_ThunderBuff,"电霸符","Electrocution Charm","Pesona Sengatan","Amuleto de Eletrocussão","Амулет электричества","電霸符"
Item_Artifact_Special_ThunderBuff_Des,"电击周围敌人，增强闪电威力","Electrocutes surrounding enemies and boosts your lightning power.","Menyengat musuh di sekeliling dengan listrik dan memacu kekuatan petir kamu.","Eletrocuta os inimigos ao redor e aumenta o poder do seu relâmpago.","Поражает окружающих врагов электричеством и увеличивает вашу силу молнии.","電擊周圍敵人，增强閃電威力"
Item_Artifact_AddGold_S,"小钱袋","Small Gold Sack","Karung Emas Kecil","Saco de Ouro Pequeno","Маленький мешочек с золотом","小錢袋"
Item_Artifact_AddGold_S_Des,"+5金币","Gold +5","Emas +5","Ouro +5","Золото +5","+5金幣"
Item_Artifact_AddGold_M,"大钱袋","Large Gold Sack","Karung Emas Besar","Saco de Ouro Grande","Большой мешок с золотом","大錢袋"
Item_Artifact_AddGold_M_Des,"+8金币","Gold +8","Emas +8","Ouro +8","Золото +8","+8金幣"
Item_Artifact_AddGold_L,"超级钱袋","Super Gold Sack","Karung Emas Super","Supersaco de Ouro","Огромный мешок с золотом","超級錢袋"
Item_Artifact_AddGold_L_Des,"+15金币","Gold +15","Emas +15","Ouro +15","Золото +15","+15金幣"
Item_Artifact_Attack_RollingShuriken,"突刺飞刀","Rolling Kunai","Kunai Berputar","Kunai de Rolamento","Катящийся кунаи","突刺飛刀"
Item_Artifact_Attack_RollingShuriken_Des,"突刺时附带飞刀攻击","Uses kunai to attack while charging.","Menggunakan kunai untuk menyerang sambil mengisi skill.","Usa uma kunai para atacar durante o carregamento.","Использует кунаи для атаки во время зарядки.","突刺時附帶飛刀攻擊"
Item_Artifact_ExpEnhance,"爆炸霸符","Charm of Explosion","Pesona Ledakan","Amuleto de Explosão","Амулет взрыва","爆炸霸符"
Item_Artifact_ExpEnhance_Des,"怪物和投掷物死亡之后爆炸","Dead monsters and throwables will explode.","Monster mati dan senjata lempar akan meledak.","Monstros mortos e objetos lançáveis explodirão.","Убитые монстры и метательные предметы будут взрываться.","怪物和投擲物死亡之後爆炸"
Item_Artifact_Beam_Phoenix,"凤凰尾羽","Phoenix Feather","Bulu Phoenix","Pena da Fênix","Перо феникса","鳳凰尾羽"
Item_Artifact_Beam_Phoenix_Des,"死亡后在烈焰中重生","Allows you to revive in flames after death.","Memungkinkan kamu bangkit dalam api setelah mati.","Permite que você volte à vida em chamas depois da morte.","Позволяет возродиться в пламени после смерти.","死亡後在烈焰中重生"
Item_Artifact_AttackShuriken,"攻击飞镖","Offensive Kunai","Kunai Ofensif","Kunai Ofensiva","Наступательный кунаи","攻擊飛鏢"
Item_Artifact_AttackShuriken_Des,"攻击时投掷飞镖","Throws kunai when attacking.","Melemparkan kunai saat menyerang.","Lança uma kunai ao atacar.","Бросает кунаиы при атаке.","攻擊時投擲飛鏢"
Item_Artifact_MysteriousExistance1,"神秘的红符","Mysterious Red Charm","Pesona Merah Misterius","Amuleto Vermelho Misterioso","Таинственный красный амулет","神秘的紅符"
Item_Artifact_MysteriousExistance1_Des,"未知量的吸血，暴击属性","Increases Leech and Crit by an unknown amount.","Meningkatkan Leech dan Crit dengan jumlah tak diketahui.","Aumenta a Sucção e o Crít em uma quantidade desconhecida.","Увеличивает вытягивание жизни и крит. удар на неизвестное количество.","未知量的吸血，暴擊内容"
Item_Artifact_MysteriousExistance2,"神秘的蓝符","Mysterious Blue Charm","Pesona Biru Misterius","Amuleto Azul Misterioso","Таинственный синий амулет","神秘的藍符"
Item_Artifact_MysteriousExistance2_Des,"生存能力大幅加强","Greatly increases HP.","Meningkatkan HP secara signifikan.","Aumenta muito os PV.","Значительно увеличивает ОЗ.","生存能力大幅加强"
Item_Attributes_Attack_L,"攻击大提升","ATK Boost (L)","Boost ATK (L)","Aumento de ATQ (G)","Бонус к АТК (Б)","攻擊大提升"
Item_Attributes_Attack_L_Des,"攻击提升40%","ATK +40%","ATK +40%","ATQ +40%","Атака +40%","攻擊提升40%"
Item_Attributes_Attack_S,"攻击小提升","ATK Boost (S)","Boost ATK (S)","Aumento de ATQ (P)","Бонус к АТК (М)","攻擊小提升"
Item_Attributes_Attack_S_Des,"攻击提升20%","ATK +20%","ATK +20%","ATQ +20%","Атака +20%","攻擊提升20%"
Item_Artifact_AddDice_L,"增加大量骰子","Dice Supply (L)","Suplai Dice (L)","Suprimento de Dados (G)","Набор кубиков (Б)","新增大量骰子"
Item_Artifact_AddDice_L_Des,"增加10个骰子","Dice +10","Dice +10","Dados +10","Кубики +10","新增10個骰子"
Item_Artifact_AddDice_M,"增加骰子","Dice Supply","Suplai Dice","Suprimento de Dados","Набор кубиков","新增骰子"
Item_Artifact_AddDice_M_Des,"增加5个骰子","Dice +5","Dice +5","Dados +5","Кубик +5","新增5個骰子"
Item_Artifact_AddDice_S,"增加少量骰子","Dice Supply (S)","Suplai Dice (S)","Suprimento de Dados (P)","Набор кубиков (М)","新增少量骰子"
Item_Artifact_AddDice_S_Des,"增加3个骰子","Dice +3","Dice +3","Dados +3","Кубик +3","新增3個骰子"
Item_Artifact_Special_GoldenMushroom,"金蘑菇","Golden Mushroom","Jamur Emas","Cogumelo Dourado","Золотой гриб","金蘑菇"
Item_Artifact_Special_GoldenMushroom_Des,"给你复活的能力，复活后能力变强","Allows you to revive with higher stats.","Memungkinkan kamu bangkit dengan stat lebih tinggi.","Permite que você volte à vida com estatísticas maiores.","Позволяет возрождаться с более высокими показателями.","給你復活的能力，復活後能力變强"
Item_Attributes_AttackSpeed_L,"攻速大提升","ATK Speed Boost (L)","Boost Kecepatan ATK (L)","Aumento de Velocidade de ATQ (G)","Бонус к скорости ATK (Б)","攻速大提升"
Item_Attributes_AttackSpeed_L_Des,"攻速提升30%","ATK Speed +30%","Kecepatan ATK +30%","Velocidade de ATQ +30%","Скорость атаки +30%","攻速提升30%"
Item_Attributes_AttackCrit_L,"暴击大提升","Crit Boost (L)","Boost Crit (L)","Aumento de Crít (G)","Бонус к крит. удару (Б)","暴擊大提升"
Item_Attributes_AttackCrit_L_Des,"暴击几率提升25%","Crit Chance +25%","Peluang Crit +25%","Chance de Crít +25%","Шанс крит. удара +25%","暴擊幾率提升25%"
Item_Artifact_AttackCrit_DamageUp_L,"暴击伤害提升","Crit DMG Boost","Boost DMG Crit","Aumento de DANO Crít","Бонус к крит. урону","暴擊傷害提升"
Item_Artifact_AttackCrit_DamageUp_L_Des,"暴击伤害提升60%","Crit DMG +60%","DMG Crit +60%","DANO Crít +60%","Крит. урон +60%","暴擊傷害提升60%"
Item_Artifact_FullMoon,"满月","Full Moon","Bulan Purnama","Lua Cheia","Полнолуние","滿月"
Item_Artifact_FullMoon_Des,"满血时增加月光伤害","Inflicts moonlight damage when HP is full.","Menimbulkan damage sinar bulan saat HP penuh.","Inflige dano de luar quando os PV estão cheios.","Наносит урон лунным светом, когда у вас максимум ОЗ.","滿血時新增月光傷害"
Item_Artifact_RewardOrder,"悬赏令","Bounty Order","Bounty Order","Ordem de Recompensa","Заказ с наградой","懸賞令"
Item_Artifact_RewardOrder_Des,"击杀目标敌人获得额外金币","Grants bonus Gold when you kill the target enemy.","Memberikan Emas bonus saat kamu menyingkirkan musuh target.","Concede Ouro bônus quando você abate o alvo inimigo.","Дает бонусное золото, когда вы убиваете целевого врага.","擊殺目標敵人獲得額外金幣"
Item_Artifact_Crown,"皇冠","Crown","Mahkota","Coroa","Корона","皇冠"
Item_Artifact_Crown_Des,"无伤杀敌以获得攻击加成","Triggers an ATK bonus when you kill an enemy without taking damage.","Memicu bonus ATK saat kamu menyingkirkan musuh tanpa menerima damage.","Aciona um bônus de ATQ quando você mata um inimigo sem sofrer dano.","Дает бонус к атаке, когда вы убиваете врага, не получая урона.","無傷殺敵以獲得攻擊加成"
Item_Artifact_NinjaBook,"忍术书","Ninjutsu Book","Kitab Ninjutsu","Livro de Ninjutsu","Книга по ниндзюцу","忍術書"
Item_Artifact_NinjaBook_Des,"受击时有概率回避","Grants you a chance to dodge attacks.","Memberimu peluang mengelak dari serangan.","Concede a você uma chance de desviar de ataques.","Дает вам шанс уклониться от атаки.","受擊時有概率回避"
Item_Artifact_WhiteFeather,"白色羽毛","White Feather","Bulu Putih","Pena Branca","Белое перо","白色羽毛"
Item_Artifact_WhiteFeather_Des,"受击时有概率回避","Grants you a chance to dodge attacks.","Memberimu peluang mengelak dari serangan.","Concede a você uma chance de desviar de ataques.","Дает вам шанс уклониться от атаки.","受擊時有概率回避"
Item_Artifact_WhiteDust,"白色粉尘","White Powder","Serbuk Putih","Pó Branco","Белый порох","白色粉塵"
Item_Artifact_WhiteDust_Des,"召唤大量纯白光束轰击敌人","Summons white beams to bombard enemies.","Memanggil cahaya putih untuk membombardir musuh.","Invoca raios brancos para bombardear os inimigos.","Призывает белые лучи для обстрела врагов.","召喚大量純白光束轟擊敵人"
Item_Artifact_RedRose,"红玫瑰","Red Rose","Mawar Merah","Rosa Vermelha","Красная роза","紅玫瑰"
Item_Artifact_RedRose_Des,"增加5%吸血","Leech +5%","Leech +5%","Sucção +5%","Вытягивание жизни +5%","新增5%吸血"
Item_Artifact_Manjusawa,"曼珠沙华","Red Spider Lily","Spider Lily Merah","Lírio-da-aranha-vermelha","Красный ликорис","曼珠沙華"
Item_Artifact_Manjusawa_Des,"濒死时攻击力提升20%，暴击率提升25%","Increases ATK by 20% and Crit Chance by 25% when you're dying.","Meningkatkan ATK 20% dan Peluang Crit 25% saat kamu sekarat.","Aumenta o ATQ em 20% e a Chance de Crít em 25% quando você está morrendo.","Увеличивает атаку на 20% и шанс крит. удара на 25%, когда вы умираете.","瀕死時攻擊力提升20%，暴擊率提升25%"
Item_Artifact_CursedMask,"诅咒面具","Cursed Mask","Topeng Terkutuk","Máscara Amaldiçoada","Проклятая маска","詛咒面具"
Item_Artifact_CursedMask_Des,"生命降低20%，攻击力提高40%","HP -20%, ATK +40%","HP -20%, ATK +40%","PV -20%, ATQ +40%","ОЗ -20%, атака +40%","生命降低20%，攻擊力提高40%"
Item_Artifact_AttackColdWind,"寒冰剑气","Icy Aura","Aura Es","Aura Gélida","Ледяная аура","寒冰劍氣"
Item_Artifact_AttackColdWind_Des,"攻击时发射出寒冰剑气","Releases icy auras when attacking.","Melepaskan aura es saat menyerang.","Solta auras gélidas ao atacar.","Выпускает ледяную ауру при атаке.","攻擊時發射出寒冰劍氣"
Item_Artifact_Blizzard,"暴风雪","Blizzard","Badai Salju","Nevasca","Снежная буря","暴風雪"
Item_Artifact_Blizzard_Des,"召唤暴风雪冷冻敌人","Summons a blizzard to freeze enemies.","Memanggil badai salju untuk membekukan musuh.","Invoca uma nevasca para congelar os inimigos.","Призывает снежную бурю, чтобы заморозить врагов.","召喚暴風雪冷凍敵人"
Item_Artifact_GuiltyFire,"罪业之火","Sinful Flame","Api Dosa","Chama Pecaminosa","Греховное пламя","罪業之火"
Item_Artifact_GuiltyFire_Des,"战斗时焚烧所有人","Burns all enemies during battle.","Membakar semua musuh dalam pertempuran.","Queima todos os inimigos durante a batalha.","Обжигает всех врагов в бою.","戰鬥時焚燒所有人"
Item_Artifact_NinjaUmbrella,"忍伞","Ninja Umbrella","Payung Ninja","Guarda-chuva Ninja","Зонт ниндзя","忍傘"
Item_Artifact_NinjaUmbrella_Des,"召唤忍伞进行防护","Summons a ninja umbrella to protect yourself.","Memanggil payung ninja untuk melindungi dirimu.","Invoca um guarda-chuva ninja para proteger você.","Призывает зонт ниндзя для защиты.","召喚忍傘進行防護"
Item_Artifact_DoubleMoney,"理财大师","Gold Guru","Guru Emas","Guru de Ouro","Золотой гуру","理財大師"
Item_Artifact_DoubleMoney_Des,"获得双倍金钱","Allows you to receive double Gold.","Memungkinkan kamu menerima Emas dua kali lipat.","Permite que você receba Ouro em dobro.","Позволяет получать двойное количество золота.","獲得雙倍金錢"
Item_Artifact_Gift,"神秘礼物","Mystery Gift","Hadiah Misterius","Presente Misterioso","Таинственный подарок","神秘禮物"
Item_Artifact_Gift_Des,"礼物里面有什么？","Find out what it is!","Cari tahu apa itu!","Descubra o que é!","Узнайте, что это такое!","禮物裡面有什麼？"
Item_Artifact_SnailCurse,"蜗牛咒术","Snail's Curse","Kutukan Keong","Maldição da Lesma","Проклятие улитки","蝸牛咒術"
Item_Artifact_SnailCurse_Des,"诅咒敌人使其减速","Slows enemies.","Memperlambat musuh.","Deixa os inimigos mais lentos.","Замедляет врагов.","詛咒敵人使其减速"
Item_Artifact_TriangleEye,"全知之眼","Eye of Providence","Mata Kuasa","Olho da Providência","Око провидения","全知之眼"
Item_Artifact_TriangleEye_Des,"洞悉敌人的血量","Detects enemy HP.","Mendeteksi HP musuh.","Detecta os PV dos inimigos.","Определяет ОЗ противника.","洞悉敵人的血量"
Item_Artifact_Lucky,"幸运草","Lucky Clover","Semanggi Hoki","Trevo da Sorte","Счастливый клевер","幸運草"
Item_Artifact_Lucky_Des,"增加高级宝箱概率","Increases the drop rate of advanced chests.","Meningkatkan drop rate dari peti lanjutan.","Aumenta a taxa de disponibilização de baús avançados.","Увеличивает частоту выпадения улучшенных сундуков.","新增高級寶箱概率"
Item_Artifact_GoldAxe,"金镐子","Gold Pickaxe","Beliung Emas","Picareta de Ouro","Золотая кирка","金鎬子"
Item_Artifact_GoldAxe_Des,"可以在战斗房里挖出宝物","Allows you to dig up treasure in rooms.","Memungkinkan kamu menggali harta di ruangan.","Permite que você desenterre tesouros nas salas.","Позволяет выкапывать сокровища в комнатах.","可以在戰鬥房裏挖出寶物"
Item_Artifact_WindBuff,"风之祝福","Blessing of the Wind","Berkat Angin","Bênção do Vento","Благословение ветра","風之祝福"
Item_Artifact_WindBuff_Des,"加30%的攻速和移速","ATK Speed and Movement Speed +30%","Kecepatan ATK dan Kecepatan Gerakan +30%","Velocidade de ATQ e Velocidade de Movimento +30%","Скорость атаки и скорость движения +30%","加30%的攻速和移速"
Item_Artifact_SwirlWind,"漩涡风刃","Whirlwind Blade","Parang Angin Puyuh","Lâmina do Redemoinho","Клинок вихря","漩渦風刃"
Item_Artifact_SwirlWind_Des,"突刺的时候产生旋风风刃","Generates a whirlwind while charging.","Menghasilkan angin puyuh saat mengisi skill.","Gera um redemoinho durante o carregamento.","Создает вихрь во время зарядки.","突刺的時候產生龍捲風風刃"
Item_Artifact_FreeShop,"免费商品","Freebie","Freebie","Brinde","Халява","免費商品"
Item_Artifact_FreeShop_Des,"商店里有概率出现免费商品","Free items may appear in the Shop.","Item gratis mungkin muncul di Toko.","Itens grátis podem aparecer na Loja.","В магазине могут появиться бесплатные товары.","商店裏有概率出現免費商品"
Item_Artifact_ShadowAttack,"影分身","Shadow Clone Jutsu","Jutsu Klona Bayangan","Jutsu de Clone Sombrio","Дзюцу теневого клона","影分身"
Item_Artifact_ShadowAttack_Des,"召唤一个影分身，攻击造成多段伤害","Summons a shadow clone that deals damage multiple times.","Memanggil klona bayangan yang menimbulkan damage beberapa kali.","Invoca um clone sombrio que causa dano várias vezes.","Вызывает теневого клона, который несколько раз наносит урон.","召喚一個影分身，攻擊造成多段傷害"
TutorialDialog_Skill,"待敌人降至红血后，可使用技能连续斩杀敌人","You can use skills to instantly finish off enemies with low HP (shown in red).","Kamu bisa menggunakan skill untuk langsung menghabisi musuh dengan HP rendah (warna merah)","Você pode usar habilidades para acabar com inimigos com poucos PV instantaneamente (mostrados em vermelho).","Вы можете использовать навыки, чтобы мгновенно добить врагов с низким уровнем ОЗ (показаны красным цветом).","待敵人降至紅血後，可使用技能連續斬殺敵人"
TutorialDialog_Tutorial,"那么，准备好进入真正的魔境吧……","All right! Get ready for the real challenges!","Baik! Bersiaplah untuk tantangan yang sebenarnya!","Tudo bem! Prepare-se para os desafios de verdade!","Итак, пора готовиться к настоящим испытаниям!","那麼，準備好進入真正的魔境吧……"
Equipment,"装备","Gear","Peralatan","Equipamento","Снаряжение","裝備"
Score,"分数","Score","Skor","Pontuação","Счет","分數"
MainPanel_LoadEquip,"装备","Equip","Pasang","Equipar","Применить","裝備"
MainPanel_UnLoadEquip,"卸下","Remove","Singkirkan","Remover","Удалить","卸下"
MainPanel_Sell,"出售","Sell","Jual","Vender","Продать","出售"
MainPanel_Shop,"店铺","Shop","Toko","Loja","Магазин","店鋪"
MainPanel_EquipmentChest,"装备宝箱","Gear Chest","Peti Peralatan","Baú de Equipamento","Сундук снаряжения","裝備寶箱"
BattleOver_GetEquipment,"获取的装备","Gear obtained","Peralatan diperoleh","Equipamento obtido","Получено снаряжение","獲取的裝備"
Guide_SkillTips,"当怪物血条为红色时，可以使用技能直接斩杀。","You can use skills to instantly finish off enemies with low HP (shown in red).","Kamu bisa menggunakan skill untuk langsung menghabisi musuh dengan HP rendah (warna merah)","Você pode usar habilidades para acabar com inimigos com poucos PV instantaneamente (mostrados em vermelho).","Вы можете использовать навыки, чтобы мгновенно добить врагов с низким уровнем ОЗ (показаны красным цветом).","當怪物血條為紅色時，可以使用技能直接斬殺。"
Ring_Atk,"红宝石戒指","Ruby Ring","Cincin Ruby","Anel de Rubi","Рубиновое кольцо","紅寶石戒指"
Ring_Life,"祖母绿戒指","Emerald Ring","Cincin Emerald","Anel de Esmeralda","Изумрудное кольцо","祖母綠戒指"
Ring_Avoid,"黑曜石戒指","Obsidian Ring","Cincin Obsidian","Anel de Obsidiana","Обсидиановое кольцо","黑曜石戒指"
Ring_AtkSpeed,"钻石戒指","Diamond Ring","Cincin Berlian","Anel de Diamante","Бриллиантовое кольцо","鑽石戒指"
Ring_Crit,"猫眼戒指","Chrysoberyl Ring","Cincin Chrysoberyl","Anel de Crisoberilo","Хризоберилловое кольцо","猫眼戒指"
Attack,"攻击力","ATK","ATK","ATQ","Атака","攻擊力"
AttackSpeed,"攻击速度","ATK Speed","Kecepatan ATK","Velocidade de ATQ","Скорость атаки","攻擊速度"
MoveSpeed,"移动速度","Movement Speed","Kecepatan Gerakan","Velocidade de Movimento","Скорость движения","移動速度"
MaxHp,"血量上限","Max HP","HP Maks","PV Máx","Макс. ОЗ","血量上限"
CritRate,"暴击率","Crit Chance","Peluang Crit","Chance de Crít","Шанс крит. удара","暴擊率"
CritMul,"暴击倍率","Crit DMG","DMG Crit","DANO Crít","Крит. урон","暴擊倍率"
AvoidRate,"闪避概率","Dodge Chance","Peluang Elak","Chance de Desviar","Шанс уклонения","閃避概率"
Resurrection,"复活次数","Revival Limit","Batas Bangkit","Limite de Volta à Vida","Лимит возрождений","復活次數"
AddGoldAtStart,"开局加钱","Bonus Starting Gold","Bonus Emas Pemula","Ouro Inicial Bônus","Доп. золото на старте","開局加錢"
AddHpTreat,"加治疗倍率","Healing Boost","Boost Penyembuhan","Aumento de Cura","Бонус к исцелению","加治療倍率"
ThornsArmor,"反弹伤害","DMG Reflection","Pemantulan DMG","Reflexão de DANO","Отражение урона","反彈傷害"
Vampire,"吸血","Leech","Leech","Sucção","Вытягивание жизни","吸血"
